Concept,Funny Description Prompt,text
A person walks in the rain,"A person walks in the rain, wearing a suit made of sponges, attempting to collect as much water as possible.","###Human:
generate a midjourney prompt for A person walks in the rain

###Assistant:
A person walks in the rain, wearing a suit made of sponges, attempting to collect as much water as possible."
A cat chasing a mouse,"A cat, wearing detective attire and sunglasses, chases a mouse riding a miniature skateboard.","###Human:
generate a midjourney prompt for A cat chasing a mouse

###Assistant:
A cat, wearing detective attire and sunglasses, chases a mouse riding a miniature skateboard."
A dog eating a bone,"A dog with a chef's hat is eating a bone seasoned with ketchup, surrounded by a crowd of applauding cats.","###Human:
generate a midjourney prompt for A dog eating a bone

###Assistant:
A dog with a chef's hat is eating a bone seasoned with ketchup, surrounded by a crowd of applauding cats."
A bird flying in the sky,"A bird with oversized sunglasses and a baseball cap flies through the sky, towing a banner that reads 'Tweet'.","###Human:
generate a midjourney prompt for A bird flying in the sky

###Assistant:
A bird with oversized sunglasses and a baseball cap flies through the sky, towing a banner that reads 'Tweet'."
A fish swimming in a tank,A fish in a snorkel and flippers swimming in a tank filled with floating cheeseburgers.,"###Human:
generate a midjourney prompt for A fish swimming in a tank

###Assistant:
A fish in a snorkel and flippers swimming in a tank filled with floating cheeseburgers."
A child playing with toys,A child in a superhero cape playing with alien-shaped toys that are holding tiny protest signs.,"###Human:
generate a midjourney prompt for A child playing with toys

###Assistant:
A child in a superhero cape playing with alien-shaped toys that are holding tiny protest signs."
A car driving on the road,"A car with legs instead of wheels running down the road, with a license plate that reads 'FOOTMOBILE'.","###Human:
generate a midjourney prompt for A car driving on the road

###Assistant:
A car with legs instead of wheels running down the road, with a license plate that reads 'FOOTMOBILE'."
A flower blooming in a garden,"A flower wearing a top hat and bow tie blooming in a garden, surrounded by dancing garden gnomes.","###Human:
generate a midjourney prompt for A flower blooming in a garden

###Assistant:
A flower wearing a top hat and bow tie blooming in a garden, surrounded by dancing garden gnomes."
A bee collecting pollen,"A bee with a backpack vacuum cleaner collecting pollen from flowers, while wearing safety goggles.","###Human:
generate a midjourney prompt for A bee collecting pollen

###Assistant:
A bee with a backpack vacuum cleaner collecting pollen from flowers, while wearing safety goggles."
A sun setting over the ocean,"The sun wearing sunglasses and sipping on a tropical drink, setting over an ocean filled with surfboarding dolphins.","###Human:
generate a midjourney prompt for A sun setting over the ocean

###Assistant:
The sun wearing sunglasses and sipping on a tropical drink, setting over an ocean filled with surfboarding dolphins."
A cow grazing in a field,"A cow with headphones on, jamming to music while grazing in a field filled with disco balls.","###Human:
generate a midjourney prompt for A cow grazing in a field

###Assistant:
A cow with headphones on, jamming to music while grazing in a field filled with disco balls."
A snail racing on a track,"A snail with a racing helmet and number '1' painted on its shell, zooming on a race track with cheering insects.","###Human:
generate a midjourney prompt for A snail racing on a track

###Assistant:
A snail with a racing helmet and number '1' painted on its shell, zooming on a race track with cheering insects."
A penguin sliding on ice,"A penguin in ice skates, doing figure skating tricks while other animals rate its performance with scorecards.","###Human:
generate a midjourney prompt for A penguin sliding on ice

###Assistant:
A penguin in ice skates, doing figure skating tricks while other animals rate its performance with scorecards."
A lion roaring in the jungle,"A lion with a microphone, singing a ballad in the jungle with a group of birds as backup singers.","###Human:
generate a midjourney prompt for A lion roaring in the jungle

###Assistant:
A lion with a microphone, singing a ballad in the jungle with a group of birds as backup singers."
A monkey swinging on a tree,"A monkey in a trapeze artist outfit, swinging from tree to tree, throwing bananas to its audience.","###Human:
generate a midjourney prompt for A monkey swinging on a tree

###Assistant:
A monkey in a trapeze artist outfit, swinging from tree to tree, throwing bananas to its audience."
A turtle sunbathing on a rock,"A turtle with sunglasses on, sunbathing on a rock, with a mini fan and a drink beside it.","###Human:
generate a midjourney prompt for A turtle sunbathing on a rock

###Assistant:
A turtle with sunglasses on, sunbathing on a rock, with a mini fan and a drink beside it."
